instance_id,seed,pressure_type,cost_profile,ood_factor,terminated,truncated,task_succeeded,task_failed,termination_reason,decisions,makespan,completed_orders,unfinished_orders,initial_progress,operation_progress,reward_version,initial_preference_quality_score,single_stage_proxy_return,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,preference,preference_key,preference_quality_score,actual_preference_quality_score,terminal_failure_penalty_configured,terminal_failure_penalty_applied,base_cumulative_reward,training_cumulative_reward,preference_flow,preference_cost,preference_variance,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_wait_count,forced_production_pair_count,forced_production_wait_count,forced_worker_pair_count,forced_worker_wait_count,forced_pair_wait_physically_unavailable_count,forced_wait_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_wait_count,forced_future_event_wait_count,forced_direct_process_count,forced_commit_reconfig_count,forced_worker_assign_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,quality_score,heuristic_quality_score,reward_quality_score,heuristic_reward_quality_score,quality_metric_version,quality_metric_sha256,decode_mode,result_role,action_trace_sha256,sampling_seed,sampling_repeat,derived_sampling_seed,sampling_evaluation_key,sampling_rng_version,inference_time_seconds,solve_time_seconds,inference_time_per_decision_ms,heuristic_completed,heuristic_makespan,heuristic_flow_time,heuristic_reconfiguration_cost,heuristic_worker_load_variance,relative_heuristic_gap_percent,makespan_heuristic_gap_percent,reconfiguration_cost_heuristic_gap_percent,worker_load_variance_heuristic_gap_percent,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,minimum_worker_alternatives,wait_total_ticks,wait_total_time,production_wait_ticks,production_wait_time,worker_wait_ticks,worker_wait_time,wait_min_estimated_deadline_slack_ticks,ranker_top_decision_count,ranker_top_selected_count,ranker_top_selection_rate,context_override_count,context_override_rate,production_pair_plus_wait_state_count,production_decision_state_count,production_pair_plus_wait_ratio,worker_pair_plus_wait_state_count,worker_decision_state_count,worker_pair_plus_wait_ratio,mean_commit_set_logit,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,wait_reason_counts,wait_mask_reason_counts,direct_process_action_count,commit_reconfig_action_count,worker_assign_action_count,wait_action_count,production_wait_action_count,worker_wait_action_count,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,schedule_violation_count,total_effective_load,max_module_load,ready_configuration_gap_ratio,heuristic_reconfiguration_ratio,mean_wave_overlap_ratio
test_balanced_3000000,3000000,balanced,balanced_cost,,True,False,True,False,completed,189,185.10000000000002,14,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.6464820601228316,656.1999999999999,656.1999999999999,555.6965369622698,95.14555555555556,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.3535179398771684,0.3535179398771684,1.0,-0.0,0.6464820601228316,0.6464820601228316,1.0,0.0,0.0,100,78,22,0,200,0,78,0,22,0,100,12,10,0,22,0,100,0,0,0,73,4,1.36986301369863,0.41502294740097545,0.2525464155302223,0.3535179398771684,0.3238293796134558,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,3c66be4a91cb97e7e1b69081d43b6cecaf7e11c2e00b853d664d008c1dc9f09b,300011,0,2087136510501344580,,evaluation_unit_sha256_v2,4.700067198835313,111.53770169988275,24.86808041711806,True,183.3,574.7,331.9508952146,4.3080555556,14.181311988863735,0.9819967266775839,67.40323492817286,2108.5498742437703,0.4026,0.2475107915166667,0.75,0,0.0,0,0,2,1851,185.10000000000002,1423,142.3,428,42.800000000000004,549,89,50,0.5617977528089888,0,0.0,143,143,1.0,46,46,1.0,0,24,0,0,"{""external_event:DIS_COMPLETE"": 10, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 9, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 14, ""external_event:PROCESS_COMPLETE"": 53, ""reconfiguration_duration_improved"": 1, ""worker_phase_handoff"": 24}","{""external_event:DIS_COMPLETE"": 34, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 28, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 51, ""external_event:PROCESS_COMPLETE"": 194, ""reconfiguration_duration_improved"": 16, ""worker_phase_handoff"": 50}",43,11,22,113,89,24,1.8,11,0.7272727272727273,0,0.26671875,0.1500833333,0.1481481481,0.1481481481,0.2953631692
test_machine_bottleneck_3000001,3000001,machine_bottleneck,labor_dominant,,True,False,True,False,completed,243,191.8,16,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.5169517080946022,1121.3,1121.3,646.42803430029,115.84472222222222,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.4830482919053977,0.4830482919053977,1.0,-0.0,0.5169517080946022,0.5169517080946022,1.0,0.0,0.0,104,75,29,0,208,0,75,0,29,0,104,9,13,0,22,3,104,0,0,0,76,3,1.368421052631579,0.49901413865051203,0.37295740656908716,0.4830482919053977,0.46834433565194267,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,cc38f21aa0bc79d7de442a3b404f5250e8be7977da0568e858dc5c4714d872d5,300011,0,8707594458521558059,,evaluation_unit_sha256_v2,6.0034982999786735,132.5724577999208,24.705754320899892,True,179.7,1057.1,759.1407361555,2.4447222222,6.073219184561541,6.7334446299388,-14.847405294836166,4638.563799611304,0.7176000000000001,0.31108333333333343,0.75,3,0.03260869565217391,0,0,2,1918,191.8,1281,128.1,637,63.7,482,139,49,0.35251798561151076,9,0.06474820143884892,180,181,0.994475138121547,62,62,1.0,0,41,0,0,"{""external_event:DIS_COMPLETE"": 15, ""external_event:INS_COMPLETE"": 14, ""external_event:ORDER_RELEASE"": 16, ""external_event:PROCESS_COMPLETE"": 67, ""reconfiguration_duration_improved"": 1, ""worker_phase_handoff"": 32}","{""external_event:DIS_COMPLETE"": 62, ""external_event:INS_COMPLETE"": 38, ""external_event:ORDER_RELEASE"": 55, ""external_event:PROCESS_COMPLETE"": 246, ""no_state_progress"": 2, ""reconfiguration_duration_improved"": 14, ""worker_phase_handoff"": 68}",53,15,30,145,113,32,7.5,15,0.6,0,0.3905208333,0.3576666667,0.3676470588,0.2794117647,0.5983225536
test_reconfiguration_bottleneck_3000002,3000002,reconfiguration_bottleneck,fixed_cost_dominant,,False,True,False,True,horizon,378,240.0,15,1,0.0,0.9875,single_stage_progress_quality_failure_v2,0.0,-0.6046835174171623,,1742.5000000000002,2025.2259482718896,35.87805555555554,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,0.5921835174171624,1.0,1.0,0.3953164825828377,-0.6046835174171623,1.0,0.0,0.0,201,103,98,0,402,0,103,0,98,0,201,124,84,55,78,139,201,0,0,0,122,8,1.6475409836065573,0.5804814292659584,0.46248938340024776,1.0,0.514680902693521,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,278b92eaac501d33b312779b4e09e47b01c7d498dc297dd68b998bb1c8a3f992,300011,0,481582989725539018,,evaluation_unit_sha256_v2,10.144643200095743,158.86696429993026,26.837680423533712,True,215.9,1272.6,1648.0583407638,5.0780555556,36.92440672638695,11.162575266327002,22.88557377970549,606.5313713629972,0.7500000000000002,0.6740195739166667,0.75,410,0.7961165048543689,86,86,0,2399,239.9,707,70.7,1692,169.20000000000002,-102,177,75,0.423728813559322,14,0.07909604519774012,214,216,0.9907407407407407,162,162,1.0,0,43,0,0,"{""external_event:DIS_COMPLETE"": 24, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 24, ""external_event:INS_COMPLETE+ORDER_RELEASE"": 1, ""external_event:ORDER_RELEASE"": 15, ""external_event:PROCESS_COMPLETE"": 67, ""reconfiguration_duration_improved"": 4, ""worker_phase_handoff"": 112, ""worker_recovery_feasible"": 10}","{""external_event:DIS_COMPLETE"": 64, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 70, ""external_event:INS_COMPLETE+ORDER_RELEASE"": 4, ""external_event:ORDER_RELEASE"": 57, ""external_event:PROCESS_COMPLETE"": 204, ""no_state_progress"": 5, ""reconfiguration_duration_improved"": 18, ""worker_phase_handoff"": 306, ""worker_recovery_feasible"": 24}",45,25,50,258,146,112,214.60000000000002,25,0.92,0,0.3818229167,0.2333333333,0.5428571429,0.3857142857,0.5873142004
test_worker_bottleneck_3000003,3000003,worker_bottleneck,balanced_cost,,True,False,True,False,completed,311,172.5,16,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.4402054292002934,1526.0000000000005,1526.0000000000005,1198.5411759809915,51.20805555555555,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.5597945707997066,0.5597945707997066,1.0,-0.0,0.4402054292002934,0.4402054292002934,1.0,0.0,0.0,152,105,47,0,304,0,105,0,47,0,152,23,41,3,52,29,152,0,0,0,104,4,1.4615384615384615,0.5446368018327008,0.44065419639873,0.5597945707997066,0.5506291192330737,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,002a640130338dbea4b70f63ec1db26189e4a2a2fa9b764f78c9c1216f907bcb,300011,0,1650258120644357732,,evaluation_unit_sha256_v2,8.117341896751896,152.1835395998787,26.10077780306076,True,153.7,1470.4,1160.4616621419,1.0722222222,3.7812840043525817,12.231620039037093,3.2814107593013455,4675.880829114526,0.7498931053999994,0.5972950366999998,0.75,44,0.2682926829268293,9,9,0,1725,172.5,1114,111.4,611,61.1,675,159,59,0.3710691823899371,4,0.025157232704402517,207,207,1.0,104,104,1.0,0,49,0,0,"{""external_event:DIS_COMPLETE"": 21, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 22, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 15, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 68, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 58, ""worker_recovery_feasible"": 2}","{""external_event:DIS_COMPLETE"": 76, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 76, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 57, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 2, ""external_event:PROCESS_COMPLETE"": 234, ""reconfiguration_duration_improved"": 18, ""worker_phase_handoff"": 146, ""worker_recovery_feasible"": 6}",50,23,46,192,134,58,25.0,23,0.8260869565217391,0,0.3708854167,0.3096666667,0.6575342466,0.3287671233,0.8670817689
test_fatigue_bottleneck_3000004,3000004,fatigue_bottleneck,fixed_cost_dominant,,True,False,True,False,completed,324,163.20000000000002,17,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.4213927028830283,1647.7000000000012,1647.7000000000012,1139.80332599802,47.84999999999999,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.5786072971169717,0.5786072971169717,1.0,-0.0,0.4213927028830283,0.4213927028830283,1.0,0.0,0.0,159,107,52,0,318,0,107,0,52,0,159,52,23,3,54,51,159,0,0,0,100,5,1.59,0.5469066071102013,0.4450685590911253,0.5786072971169717,0.5651386120674036,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,c74c0944fcf83ae94f373d79fc71c0312f25c3cc0790c9fb111a30925e1461ed,300011,0,99939438456262778,,evaluation_unit_sha256_v2,8.613280100980774,154.15983759984374,26.584197842533253,True,146.8,1559.5,1018.4692506043,2.9455555556,5.655658865020916,11.171662125340601,11.913376405004616,1524.4813277763183,0.7495741629999998,0.6275502139999999,0.75,106,0.5096153846153846,19,19,0,1632,163.20000000000002,958,95.80000000000001,674,67.4,768,165,73,0.44242424242424244,3,0.01818181818181818,214,214,1.0,110,110,1.0,0,48,0,0,"{""external_event:DIS_COMPLETE"": 22, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 22, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 15, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 72, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 64, ""worker_recovery_feasible"": 2}","{""external_event:DIS_COMPLETE"": 74, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 76, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 61, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 2, ""external_event:PROCESS_COMPLETE"": 242, ""reconfiguration_duration_improved"": 12, ""worker_phase_handoff"": 166, ""worker_recovery_feasible"": 10}",53,23,46,202,138,64,39.0,23,0.8695652173913043,0,0.4044791667,0.3521666667,0.5921052632,0.3026315789,0.783026547
test_high_arrival_pressure_3000005,3000005,high_arrival_pressure,balanced_cost,,True,False,True,False,completed,327,163.4,18,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.40453074433656955,1766.4000000000005,1766.4000000000005,1035.4359058743705,78.15555555555558,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.5954692556634305,0.5954692556634305,1.0,-0.0,0.40453074433656955,0.40453074433656955,1.0,0.0,0.0,147,107,40,0,294,0,107,0,40,0,147,24,22,3,43,4,147,0,0,0,107,5,1.3738317757009346,0.5723158800209427,0.4274761152429421,0.5954692556634305,0.572999323915596,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,a83e6777a2792bcad6aecd87653aa44afb0e507d15b798d1c0fb7d54187d1a80,300011,0,7123422242879649277,,evaluation_unit_sha256_v2,8.752973900875077,154.52930169994943,26.76750428402164,True,155.0,1610.3,803.4213559278,1.9013888889,9.693845867229745,5.4193548387096815,28.87831500055627,4010.4455806918327,0.7313111189000006,0.34560907960000015,0.75,11,0.06285714285714286,0,0,1,1634,163.4,1011,101.10000000000001,623,62.300000000000004,766,180,51,0.2833333333333333,3,0.016666666666666666,226,226,1.0,101,101,1.0,0,52,0,0,"{""external_event:DIS_COMPLETE"": 20, ""external_event:DIS_COMPLETE+ORDER_RELEASE"": 1, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 21, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 16, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 77, ""reconfiguration_duration_improved"": 6, ""worker_phase_handoff"": 55}","{""external_event:DIS_COMPLETE"": 58, ""external_event:DIS_COMPLETE+ORDER_RELEASE"": 4, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 68, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 4, ""external_event:ORDER_RELEASE"": 73, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 4, ""external_event:PROCESS_COMPLETE"": 286, ""reconfiguration_duration_improved"": 22, ""worker_phase_handoff"": 130}",59,23,46,199,144,55,23.8,23,0.9130434782608695,0,0.4243229167,0.2488333333,0.5243902439,0.243902439,0.8607078921
test_easy_3000006,3000006,easy,labor_dominant,,True,False,True,False,completed,176,176.20000000000002,14,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.6797326384955251,565.4,565.4,308.3716909084,35.25,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.3202673615044749,0.3202673615044749,1.0,-0.0,0.6797326384955249,0.6797326384955249,1.0,0.0,0.0,98,80,18,0,196,0,80,0,18,0,98,10,9,0,19,0,98,0,0,0,70,4,1.4,0.31353898728581214,0.23074126206994233,0.3202673615044749,0.3057162693820874,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,8151df6cbc168bfcbbd89c5ecf79ae86084fe7b5c344325459e017c291986ef8,300011,0,6190326510827007793,,evaluation_unit_sha256_v2,4.569607500219718,104.8637427999638,25.963678978521123,True,175.4,528.4,321.172458461,1.27,7.002271006813021,0.456100342075263,-3.985636755386485,2675.590551181102,0.3056000000000001,0.1490468234,0.75,0,0.0,0,0,2,1762,176.20000000000002,1456,145.6,306,30.6,638,78,36,0.46153846153846156,6,0.07692307692307693,138,139,0.9928057553956835,37,37,1.0,0,22,0,0,"{""external_event:DIS_COMPLETE"": 9, ""external_event:INS_COMPLETE"": 8, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 14, ""external_event:PROCESS_COMPLETE"": 53, ""worker_phase_handoff"": 19}","{""external_event:DIS_COMPLETE"": 32, ""external_event:INS_COMPLETE"": 24, ""external_event:INS_COMPLETE+PROCESS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 49, ""external_event:PROCESS_COMPLETE"": 198, ""no_state_progress"": 2, ""worker_phase_handoff"": 44}",45,9,18,104,85,19,1.7000000000000002,9,0.8888888888888888,0,0.2366145833,0.1323333333,0.1851851852,0.1851851852,0.0
test_balanced_3000007,3000007,balanced,downtime_dominant,,True,False,True,False,completed,191,206.9,15,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.6202832626899618,734.5999999999998,734.5999999999998,503.95574048263995,35.75888888888889,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.3797167373100382,0.3797167373100382,1.0,-0.0,0.6202832626899618,0.6202832626899618,1.0,0.0,0.0,102,84,18,0,204,0,84,0,18,0,102,9,9,0,18,0,102,0,0,0,74,4,1.3783783783783783,0.3737784250895838,0.2881641640651128,0.3797167373100382,0.36822154364536164,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,42c1593115ff2e7afb6e32af13bd8075c82efdc08a9915ae40ee11516a84fead,300011,0,1475561739627855707,,evaluation_unit_sha256_v2,4.976002897368744,112.44631799985655,26.052371190412273,True,206.9,699.4,398.6996402946,5.1080555556,5.032885330283074,0.0,26.399848294386725,600.0489422963725,0.4639000000000001,0.19978456733333336,0.75,0,0.0,0,0,2,2069,206.9,1854,185.4,215,21.5,331,89,42,0.47191011235955055,1,0.011235955056179775,154,154,1.0,37,37,1.0,0,19,0,0,"{""external_event:DIS_COMPLETE"": 9, ""external_event:INS_COMPLETE"": 9, ""external_event:ORDER_RELEASE"": 14, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 59, ""worker_phase_handoff"": 19}","{""external_event:DIS_COMPLETE"": 32, ""external_event:INS_COMPLETE"": 34, ""external_event:ORDER_RELEASE"": 47, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 4, ""external_event:PROCESS_COMPLETE"": 220, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 42}",53,9,18,111,92,19,2.4000000000000004,9,1.0,0,0.3130729167,0.16575,0.1290322581,0.1129032258,0.3443951295
test_machine_bottleneck_3000008,3000008,machine_bottleneck,fixed_cost_dominant,,True,False,True,False,completed,284,186.60000000000002,18,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.466889736207299,1370.2000000000003,1370.2000000000003,855.1389719158203,122.26472222222225,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.533110263792701,0.533110263792701,1.0,-0.0,0.466889736207299,0.466889736207299,1.0,0.0,0.0,134,101,33,0,268,0,101,0,33,0,134,18,19,2,35,1,134,0,0,0,94,5,1.425531914893617,0.5467919887969349,0.404634614866786,0.533110263792701,0.5153081832135067,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,8856b93f274eab1b1ead09300a2427374c1440d95f71565542f4b3ce332cfc20,300011,0,1393704883886859917,,evaluation_unit_sha256_v2,7.51310700061731,146.3553876997903,26.454602114849685,True,173.7,1275.8,933.6955494372,0.5366666667,7.399278883837618,7.426597582038017,-8.41351097461383,22682.246375396553,0.6737753720999995,0.3634162449333333,0.75,1,0.007633587786259542,0,0,2,1866,186.60000000000002,1144,114.4,722,72.2,534,150,70,0.4666666666666667,1,0.006666666666666667,205,205,1.0,79,79,1.0,0,53,0,0,"{""external_event:DIS_COMPLETE"": 15, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 1, ""external_event:DIS_COMPLETE+ORDER_RELEASE"": 1, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 3, ""external_event:INS_COMPLETE"": 19, ""external_event:ORDER_RELEASE"": 16, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 72, ""worker_phase_handoff"": 39}","{""external_event:DIS_COMPLETE"": 42, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 2, ""external_event:DIS_COMPLETE+ORDER_RELEASE"": 2, ""external_event:DIS_COMPLETE+PROCESS_COMPLETE"": 10, ""external_event:INS_COMPLETE"": 54, ""external_event:ORDER_RELEASE"": 63, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 4, ""external_event:PROCESS_COMPLETE"": 274, ""reconfiguration_duration_improved"": 14, ""worker_phase_handoff"": 102}",57,20,40,167,128,39,6.800000000000001,20,0.9,0,0.4392708333,0.3710833333,0.4545454545,0.2987012987,0.6629053191
test_reconfiguration_bottleneck_3000009,3000009,reconfiguration_bottleneck,labor_dominant,,True,False,True,False,completed,356,238.4,18,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.42913850445231205,1596.3,1596.3,2000.1222283566017,76.51333333333334,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.570861495547688,0.570861495547688,1.0,-0.0,0.42913850445231205,0.42913850445231205,1.0,0.0,0.0,182,106,76,0,364,0,106,0,76,0,182,96,44,27,66,97,179,0,0,0,113,6,1.6106194690265487,0.6063917697706876,0.47264555243941014,0.570861495547688,0.5294486706924947,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,47ac90061b4ea640b65015fbdda528221e287c4331748e43c47126cbccb47db1,300011,0,8013811736035009881,,evaluation_unit_sha256_v2,9.684553100494668,157.24623489985242,27.203800844086146,True,212.5,1350.2,1814.467847119,3.9122222222,18.22692934380091,12.18823529411765,10.231891489969497,1855.7512070545627,0.7499595990000003,0.6569698170000001,0.75,339,0.7811059907834101,57,57,0,2384,238.4,899,89.9,1485,148.5,16,174,76,0.4367816091954023,2,0.011494252873563218,222,222,1.0,134,134,1.0,0,32,0,0,"{""external_event:DIS_COMPLETE"": 22, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 21, ""external_event:ORDER_RELEASE"": 17, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 71, ""reconfiguration_duration_improved"": 6, ""worker_phase_handoff"": 88, ""worker_recovery_feasible"": 6}","{""external_event:DIS_COMPLETE"": 72, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 6, ""external_event:INS_COMPLETE"": 62, ""external_event:ORDER_RELEASE"": 57, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 4, ""external_event:PROCESS_COMPLETE"": 230, ""reconfiguration_duration_improved"": 30, ""worker_phase_handoff"": 232, ""worker_recovery_feasible"": 18}",54,23,46,233,145,88,203.4,23,0.8695652173913043,0,0.398125,0.229,0.5974025974,0.3246753247,0.5941905496
test_worker_bottleneck_3000010,3000010,worker_bottleneck,balanced_cost,,True,False,True,False,completed,305,159.60000000000002,15,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.4500281267579226,1466.4999999999995,1466.4999999999995,1255.0826964351595,23.498055555555563,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.5499718732420774,0.5499718732420774,1.0,-0.0,0.4500281267579226,0.4500281267579226,1.0,0.0,0.0,154,105,49,0,308,0,105,0,49,0,154,36,27,5,49,20,154,0,0,0,95,6,1.6210526315789473,0.5058951000633114,0.4443308923981406,0.5499718732420774,0.5245830196901865,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,sampled,formal_sampled,656d795c18250f012571ac246ba145da2ca93d8b509b7c0af3e4844d555c4021,300011,0,6537032262738497223,,evaluation_unit_sha256_v2,8.183152700774372,151.09549879981205,26.83000885499794,True,160.0,1324.1,1329.6502472196,2.8580555556,10.75447473755756,-0.2499999999999858,-5.608057527937663,722.169307014137,0.7497139701,0.6195948812166666,0.75,19,0.1357142857142857,11,11,0,1596,159.60000000000002,1095,109.5,501,50.1,804,151,57,0.37748344370860926,2,0.013245033112582781,200,200,1.0,105,105,1.0,0,37,0,0,"{""external_event:DIS_COMPLETE"": 23, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 1, ""external_event:DIS_COMPLETE+ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 24, ""external_event:ORDER_RELEASE"": 14, ""external_event:PROCESS_COMPLETE"": 66, ""reconfiguration_duration_improved"": 3, ""worker_phase_handoff"": 55}","{""external_event:DIS_COMPLETE"": 82, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 4, ""external_event:DIS_COMPLETE+ORDER_RELEASE+PROCESS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 84, ""external_event:ORDER_RELEASE"": 53, ""external_event:PROCESS_COMPLETE"": 240, ""reconfiguration_duration_improved"": 16, ""worker_phase_handoff"": 128}",43,25,50,187,132,55,17.1,25,0.92,0,0.35859375,0.3049166667,0.6029411765,0.3970588235,0.8529598961
